case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
extrude_depthSource_luminance	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/extrude_depthSource_luminance.golden.png
extrude_depthSource_random	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/extrude_depthSource_random.golden.png
extrude_type_blocks	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/extrude_type_blocks.golden.png
extrude_type_pyramids	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/extrude_type_pyramids.golden.png
feedback	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/feedback.golden.png
fibers	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/fibers.golden.png
flipMirror	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/flipMirror.golden.png
focusBlur	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/focusBlur.golden.png
fxaa	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/fxaa.golden.png
gabor	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/gabor.golden.png
glitch	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/glitch.golden.png
glowingEdge	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/glowingEdge.golden.png
glyphMap	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/glyphMap.golden.png
grade	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/grade.golden.png
gradient	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/gradient.golden.png
grain	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/grain.golden.png
grime	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/grime.golden.png
halftone	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/halftone.golden.png
halftone_mode_color	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/halftone_mode_color.golden.png
halftone_mode_mono	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/halftone_mode_mono.golden.png
halftone_pattern_circle	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/halftone_pattern_circle.golden.png
halftone_pattern_dot	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/halftone_pattern_dot.golden.png
halftone_pattern_line	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/halftone_pattern_line.golden.png
hatch	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch.golden.png
hatch_direction_horizontal	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_direction_horizontal.golden.png
hatch_direction_leftDiag	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_direction_leftDiag.golden.png
hatch_direction_rightDiag	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_direction_rightDiag.golden.png
hatch_direction_vertical	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_direction_vertical.golden.png
hatch_mode_chalkCharcoal	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_mode_chalkCharcoal.golden.png
hatch_mode_charcoal	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/hatch_mode_charcoal.golden.png
hatch_mode_coloredPencil	NEAR	207.0	0.99986	255.0	0.99	sweep	parity/out/hatch_mode_coloredPencil.golden.png
hatch_mode_conte	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/hatch_mode_conte.golden.png
hatch_mode_crosshatch	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/hatch_mode_crosshatch.golden.png
hatch_mode_pen	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/hatch_mode_pen.golden.png
highPass	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/highPass.golden.png
historicPalette	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/historicPalette.golden.png
hs	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/hs.golden.png
invert	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/invert.golden.png
invert_mode_full	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/invert_mode_full.golden.png
invert_mode_solarize	PASS	1.0	0.99994	2.001	0.98	sweep	parity/out/invert_mode_solarize.golden.png
julia	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/julia.golden.png
kaleido	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/kaleido.golden.png
lens	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lens.golden.png
lensDistortion	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lensDistortion.golden.png
lensFlare	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lensFlare.golden.png
lensFlare_lensType_moviePrime	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lensFlare_lensType_moviePrime.golden.png
lensFlare_lensType_prime105	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lensFlare_lensType_prime105.golden.png
lensFlare_lensType_prime35	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lensFlare_lensType_prime35.golden.png
lensFlare_lensType_zoom50_300	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lensFlare_lensType_zoom50_300.golden.png
lensWarp	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lensWarp.golden.png
lightLeak	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lightLeak.golden.png
lighting	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/lighting.golden.png
lowPoly	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lowPoly.golden.png
lowPoly_borderWidth_50	PASS	1.0	0.99995	2.001	0.98	sweep	parity/out/lowPoly_borderWidth_50.golden.png
lowPoly_lightIntensity_50	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lowPoly_lightIntensity_50.golden.png
