case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
texture_mode_canvas	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_canvas.golden.png
texture_mode_clumped	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/texture_mode_clumped.golden.png
texture_mode_contrasty	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_contrasty.golden.png
texture_mode_crosshatch	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_crosshatch.golden.png
texture_mode_enlarged	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_enlarged.golden.png
texture_mode_halftone	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_halftone.golden.png
texture_mode_horizontal	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/texture_mode_horizontal.golden.png
texture_mode_paper	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_paper.golden.png
texture_mode_regular	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_regular.golden.png
texture_mode_soft	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/texture_mode_soft.golden.png
texture_mode_speckle	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/texture_mode_speckle.golden.png
texture_mode_sprinkles	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_sprinkles.golden.png
texture_mode_stippled	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/texture_mode_stippled.golden.png
texture_mode_stucco	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture_mode_stucco.golden.png
texture_mode_vertical	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/texture_mode_vertical.golden.png
threshold	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/threshold.golden.png
thresholdMix	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/thresholdMix.golden.png
tile	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/tile.golden.png
tint	PASS	1.0	0.99994	2.001	0.98	sweep	parity/out/tint.golden.png
translate	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/translate.golden.png
tunnel	NEAR	3.0	0.99998	3.0	0.98	sweep	parity/out/tunnel.golden.png
unsharpMask	NEAR	3.0	0.99999	3.0	0.98	sweep	parity/out/unsharpMask.golden.png
uvRemap	NEAR	20.0	0.99998	22.0	0.98	sweep	parity/out/uvRemap.golden.png
vaseline	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/vaseline.golden.png
vignette	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/vignette.golden.png
warp	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/warp.golden.png
watercolor	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/watercolor.golden.png
waves	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/waves.golden.png
wind	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/wind.golden.png
wind_method_blast	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/wind_method_blast.golden.png
wind_method_stagger	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/wind_method_stagger.golden.png
wind_method_wind	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/wind_method_wind.golden.png
wobble	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/wobble.golden.png
zoomBlur	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/zoomBlur.golden.png
_vs32probe	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
buddhabrot	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
filter3d_flow3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
filter3d_palette3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
physical	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
present_hero	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
synth3d_cell3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
synth3d_flythrough3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
synth3d_fractal3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
synth3d_noise	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
synth3d_shape3d	DEFER	-	-	-	-	3d/mrt/points	(no single-frame golden — validated via 3D/agent harness)
